カラム,アイテム名,回答タイプ,カテゴリ数,質問文A,質問文B,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,SAMPLEID,N,,,回答者ID
2,ANSWERDATE,D,,,回答日時
3,CELL,SA,1,,回答グループ,回答グループ1
4,CELLNAME,FA,,,回答グループの名称
5,Q1,SA,13,,あなたの年齢をお知らせください。,～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70歳～
6,Q2,SA,2,,あなたの性別をお知らせください。,男性,女性
7,Q3,SA,47,,あなたがお住まいの都道府県をお知らせください。,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
8,Q4,SA,4,,今までマツダファンブックを購入したことがありますか？,１　毎号購入している,２　たまに購入している,３　今回初めて購入した,４　購入したことはない
9~14,Q5,MA,6,,Q4で１以外を選んだ方へ。購入しなかった理由に最も近いものを選んでください。（複数選択可）,１　表紙がよくなかった,２　内容がよくなかった,３　本屋で見つけられなかった,４　発売日を知らなかった,５　高いから,６　その他（具体的に）
15,Q5_6FA,FA,,,Q5_6 ６　その他（具体的に）【　　　】
16,Q6,SA,3,,定期購読について,現在している,したことがある,したことはない
