カラム,アイテム名,回答タイプ,カテゴリ数,質問文A,質問文B,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,SAMPLEID,N,,,回答者ID
2,ANSWERDATE,D,,,回答日時
3,F1_SEX,SA,2,,性別,男性,女性
4,F2_AGEID,SA,12,,年齢,～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70歳～
5,F3_PREFECTURE,SA,47,,都道府県,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
6,CELL,SA,1,,回答グループ,回答グループ1
7,CELLNAME,FA,,,回答グループの名称
8,Q1,SA,6,,ノスタルジックスピードVol.026を購入する決め手となった理由は？,表紙にひかれたから,特集記事が読みたかった,前号がよかったから,試しに買ってみた,ノスタルジックヒーロー、ハチマルヒーローの姉妹誌だから,その他（具体的に）
9,Q1_6FA,FA,,,Q1_6 その他（具体的に）【　　　】
10,Q2,SA,5,,ノスタルジックスピードVol.026の内容はいかがでしたか？,満足,やや満足,普通,物足りない,期待はずれ
